feature,importance
doy_cos,0.0791462724005179
aqi_roll_mean_14,0.06308758781618092
pressure_mean,0.05437785231453232
aqi_roll_mean_7,0.051960414479839824
pm25_roll_mean_3,0.04819979121740172
pm25_roll_mean_7,0.04326306951944298
pm25_roll_mean_14,0.03448299231858684
pm10_roll_mean_30,0.033454167252288274
aqi_roll_mean_3,0.03156071316271479
pm2_5_mean_lag1,0.027669962112382235
pm25_roll_mean_30,0.02651112106907705
so2_mean,0.024777904775174105
aqi_roll_mean_30,0.02384769103317058
temp_min,0.023679106619301487
nh3_mean,0.02304133203039637
wind_u_mean_roll_mean_7,0.02098287608905012
pm10_roll_mean_14,0.020666362152304704
aqi_daily_lag1,0.020412957992161536
pm25_roll_std_7,0.017482749851315354
wind_v_mean_roll_mean_3,0.013763699334443302
pm2_5_mean,0.012550072473724791
temp_mean,0.009315520114962733
temp_mean_roll_mean_3,0.00870301568184912
pm25_roll_std_14,0.008515388441332277
dew_point_mean,0.008486359826027697
wind_v_mean_roll_mean_7,0.008301570659668241
pm2_5_mean_lag2,0.008263724749361325
day_of_year,0.008148925343230924
doy_sin,0.008134294230468509
aqi_daily,0.00796515243888946
temp_mean_roll_mean_7,0.007960931581518019
aqi_daily_lag2,0.00748438085122892
temp_mean_lag2,0.00741069412274444
pm25_roll_std_30,0.007272249135053614
wind_v_mean,0.007036356639570614
week_of_year,0.006900292102781571
co_mean,0.006694499416501148
no2_mean,0.006690069898226281
wind_u_mean_lag3,0.0062647265888902265
pm2_5_mean_lag4,0.0059522174105164525
temp_mean_lag1,0.00585506631354208
wind_u_mean_roll_mean_3,0.005583772929367775
pm25_roll_std_3,0.005525322328264468
wind_u_mean,0.005314602062373546
aqi_daily_lag4,0.00516695323986008
temp_max,0.005048414264676183
pm10_roll_mean_7,0.004715643343162975
wind_v_mean_lag2,0.004483828404883279
pm2_5_mean_lag7,0.004388451882747553
pm10_mean_lag3,0.004236759644918711
pm2_5_mean_lag3,0.00410549674316359
wind_u_mean_lag2,0.004084609628009829
pm2_5_mean_lag5,0.003736183839317964
month,0.0035524183374936657
aqi_roll_std_14,0.0031229189291810057
pm10_roll_mean_3,0.003084441168611857
wind_v_mean_lag1,0.00295889315736534
wind_v_mean_lag3,0.002891491142403991
wind_u_mean_lag1,0.0027586921716559656
aqi_roll_std_30,0.002730932123392722
aqi_roll_std_7,0.00270492110543619
humidity_mean_roll_mean_3,0.0025337820154733726
pm10_roll_std_30,0.0025319236003923766
wind_u_mean_roll_std_7,0.002421617078173041
humidity_mean_lag2,0.002310401043563555
pm10_mean_lag7,0.002294308599549544
wind_speed_mean,0.002274510984810476
aqi_daily_lag7,0.002255341410102903
aqi_daily_lag3,0.0021955972823545725
humidity_mean_roll_std_7,0.00213090251019691
wind_gust_max,0.001982540064479085
temp_range,0.0019791077229880105
clouds_mean,0.0019710075431665377
temp_mean_roll_std_3,0.0019587740493133437
pm10_roll_std_14,0.0019333135249442494
temp_mean_lag3,0.0019249876674747484
pm10_mean_lag4,0.0019004535145251422
pm10_mean_lag6,0.001847804934212281
pm10_mean,0.001840277296329748
aqi_daily_lag6,0.0018315228523871655
wind_speed_max,0.0017894671413873464
humidity_mean_roll_mean_7,0.0017881012736151165
humidity_mean_lag3,0.0017709786837998979
wind_v_mean_roll_std_3,0.0017461213452713068
wind_v_mean_roll_std_7,0.0017206958766909836
wind_u_mean_roll_std_3,0.0016994475248150243
o3_8h_max_ppb,0.0016593234007806995
pm10_mean_lag5,0.0016488785042741488
humidity_mean,0.001530133487251301
o3_mean,0.001519307737481224
pm10_mean_lag2,0.0015060350513741631
humidity_mean_roll_std_3,0.0014522158048062114
pm10_mean_lag1,0.0014415442990291067
temp_mean_roll_std_7,0.0014398204114417273
aqi_change_rate,0.001401012768763212
pm10_roll_std_7,0.0013791208341858267
humidity_mean_lag1,0.001364382530491031
aqi_daily_lag5,0.0013294541369947676
no_mean,0.0012186111265905248
pm2_5_mean_lag6,0.0012140024195168215
aqi_roll_std_3,0.0010406123414017801
pm10_roll_std_3,0.0010208884124763354
day_of_week,0.0006282140970829833
is_weekend,7.922570216483703e-05
rain_sum,2.5353387219011984e-05
visibility_mean,0.0
num_hours,0.0
snow_sum,0.0
imputed,0.0
is_complete_day,0.0
