feature,mean_abs_shap
PM2.5,4.659385160474003
log_PM2.5,4.210326166008205
Temperature,2.1582972362101276
SO2,1.5090529916330964
AQI,0.7488819622966651
CO,0.623044318862767
log_CO,0.5742455981597417
month,0.5434940390865994
O3,0.4525485677704675
AQI_roll_mean_3,0.4222845334145397
Humidity,0.3905271171424245
NO2,0.333754757182981
AQI_roll_std_3,0.28629647290092697
PM10,0.2313939413765652
AQI_diff,0.2302806916560853
weekday_4,0.20281224886075908
AQI_lag_2,0.16753173793621895
season_Spring,0.16427426610216603
AQI_lag_1,0.119872925034225
weekday_5,0.08274832648299359
season_Winter,0.048883765837718564
weekday_6,0.01505193957585185
weekday_3,0.011520488558220385
season_Summer,0.009089612149501262
weekday_1,0.006151825253255062
weekday_2,0.005118438565603062
Precipitation,0.0
