feature,mean_abs_shap
PM2.5,6.4407261737573736
log_PM2.5,6.386005805363569
O3,0.7924771285267274
AQI,0.6480253831686927
SO2,0.6019359283499353
Temperature,0.30368122093687877
AQI_roll_std_3,0.25728208643451295
AQI_roll_mean_3,0.12620142916359103
CO,0.12273667877986899
NO2,0.12201354374906638
Humidity,0.10394797878693537
PM10,0.09972967240310905
log_CO,0.09559130378489332
AQI_lag_1,0.08818817614790889
AQI_diff,0.08067109865210471
AQI_lag_2,0.06840680515254474
month,0.05498863806939683
weekday_4,0.032296208918621894
weekday_5,0.014797572407272964
weekday_1,0.01432186711178563
season_Spring,0.00912408604763011
weekday_3,0.008131390703238966
season_Summer,0.004926740379837673
season_Winter,0.0034924723366993914
weekday_2,0.002485904128496496
weekday_6,0.001139086132579182
Precipitation,0.0
