feature,gain
PM2.5,854545.4372558594
SO2,244127.9501953125
CO,192197.56072998047
Temperature,64995.52621459961
AQI_roll_mean_3,63448.791015625
AQI,19954.661987304688
PM10,17886.862243652344
AQI_lag_2,13862.670166015625
NO2,6482.93017578125
O3,6434.019836425781
season_Spring,5137.108093261719
AQI_diff,5128.509765625
month,4564.380126953125
Humidity,3990.4998779296875
weekday_3,0.0
weekday_4,0.0
season_Winter,0.0
weekday_2,0.0
weekday_5,0.0
weekday_1,0.0
AQI_lag_1,0.0
season_Summer,0.0
AQI_roll_std_3,0.0
log_CO,0.0
log_PM2.5,0.0
Precipitation,0.0
weekday_6,0.0
