feature,gain
aqi_daily,29812754.645965576
pm2_5_mean,19746679.107070923
doy_cos,4333021.472991943
aqi_roll_mean_3,2099996.259078026
pm25_roll_mean_3,1119661.2919921875
pm10_mean_lag5,712872.5231628418
wind_v_mean_roll_mean_3,710398.3635864258
clouds_mean,687059.7445068359
pm10_roll_mean_3,616256.759765625
so2_mean,594435.6276855469
pm10_mean,567125.9363288879
nh3_mean,523005.4702758789
temp_mean_lag1,522349.498046875
wind_u_mean_roll_mean_7,488755.13671875
aqi_change_rate,475102.9496765137
wind_u_mean_lag3,465592.8994140625
wind_u_mean,460820.02978515625
temp_max,393885.3507461548
wind_v_mean,385527.94122314453
pm10_roll_mean_30,347396.3017578125
wind_u_mean_roll_std_3,331394.9954986572
o3_mean,315813.169921875
wind_speed_mean,306118.32122802734
humidity_mean_roll_mean_3,274695.5007324219
wind_u_mean_lag1,253901.1962890625
day_of_year,250365.41647720337
pressure_mean,248201.8233013153
aqi_roll_std_3,231713.529296875
aqi_roll_std_7,230594.06296920776
pm10_roll_mean_14,222616.21508789062
humidity_mean_lag1,219428.48315429688
no_mean,214397.4773864746
pm2_5_mean_lag6,214105.1738872528
pm10_mean_lag4,210459.490234375
wind_v_mean_roll_std_7,195506.97519302368
pm10_roll_std_30,179131.4038476944
wind_v_mean_lag2,178488.3406982422
pm10_roll_std_7,177604.54028320312
aqi_roll_mean_7,170194.00341796875
humidity_mean_roll_std_7,169040.02459716797
co_mean,163951.24926757812
aqi_roll_std_30,160283.54986572266
wind_speed_max,154443.2660522461
wind_v_mean_lag3,148280.3166999817
wind_u_mean_roll_std_7,148208.89086914062
doy_sin,147109.04846191406
wind_v_mean_lag1,140548.00936889648
humidity_mean,139878.35192871094
pm10_mean_lag7,138691.02880859375
temp_range,138648.60886383057
pm25_roll_std_30,137803.30499267578
aqi_daily_lag4,131354.74142456055
pm10_roll_std_14,131350.65348815918
pm10_roll_std_3,130673.90887451172
no2_mean,123057.91801559925
temp_mean_lag2,121574.90234375
humidity_mean_lag2,118609.64794921875
pm2_5_mean_lag7,107176.3984375
pm25_roll_std_3,105768.86248779297
pm25_roll_mean_14,95773.728515625
pm10_mean_lag3,94888.35975646973
o3_8h_max_ppb,90392.59014892578
temp_mean_roll_std_7,85504.56771850586
aqi_daily_lag5,83464.41278076172
humidity_mean_roll_std_3,82337.169921875
wind_gust_max,80728.24951171875
aqi_daily_lag3,80643.1201248169
humidity_mean_roll_mean_7,72313.85151672363
wind_u_mean_lag2,70165.51084899902
humidity_mean_lag3,70131.16119384766
wind_v_mean_roll_std_3,65218.218811035156
pm2_5_mean_lag4,64837.8505859375
aqi_roll_std_14,63185.853424072266
temp_mean,60366.40905761719
wind_u_mean_roll_mean_3,55640.55029296875
aqi_daily_lag6,53240.678649902344
aqi_daily_lag1,53147.1103515625
pm2_5_mean_lag3,51124.291015625
aqi_roll_mean_30,50855.44415283203
pm2_5_mean_lag1,47496.77801513672
temp_mean_roll_mean_3,47202.230224609375
dew_point_mean,42897.5712890625
pm10_mean_lag2,42788.272399902344
aqi_daily_lag2,42261.63977050781
temp_min,36656.12512207031
temp_mean_roll_mean_7,35853.8603515625
pm25_roll_std_7,29801.838806152344
pm10_roll_mean_7,27834.80078125
pm10_mean_lag1,26416.1806640625
temp_mean_roll_std_3,25607.95977783203
week_of_year,25154.392211914062
pm10_mean_lag6,25095.25
pm25_roll_std_14,24864.882781982422
aqi_daily_lag7,23737.599609375
pm2_5_mean_lag5,23644.885986328125
pm2_5_mean_lag2,20710.480346679688
pm25_roll_mean_30,18760.7294921875
pm25_roll_mean_7,12971.9228515625
temp_mean_lag3,4756.982940673828
rain_sum,2237.219970703125
wind_v_mean_roll_mean_7,2042.4059753417969
day_of_week,862.6760101318359
is_weekend,0.0
month,0.0
imputed,0.0
is_complete_day,0.0
visibility_mean,0.0
snow_sum,0.0
num_hours,0.0
aqi_roll_mean_14,0.0
