feature,importance
doy_cos,0.06526559945473104
aqi_roll_mean_7,0.04420340204550732
pm25_roll_mean_14,0.038996277179304005
aqi_roll_mean_14,0.03859784996680686
pm25_roll_mean_7,0.03838721551489061
pressure_mean,0.03837557986430844
aqi_roll_mean_30,0.028949011434910882
pm25_roll_mean_3,0.027504546490605034
aqi_roll_mean_3,0.024056092290269056
nh3_mean,0.020366065125191152
pm10_roll_mean_30,0.019551914580196863
temp_min,0.01913965661715285
pm10_roll_mean_14,0.018070455782427403
aqi_daily_lag1,0.01768494082062225
wind_v_mean_roll_mean_7,0.01738055729574674
pm25_roll_mean_30,0.016777998132769156
wind_v_mean_roll_mean_3,0.01626487298418397
so2_mean,0.014418068559870493
wind_u_mean_roll_mean_7,0.014290982878629803
aqi_daily,0.013110716984884824
temp_mean_roll_mean_3,0.012713051618045354
doy_sin,0.011771687710730484
day_of_year,0.011239756372019231
pm2_5_mean_lag1,0.011047143462149325
co_mean,0.010780538171067241
temp_mean,0.010152389085625659
pm2_5_mean,0.010142028326364532
dew_point_mean,0.009803554815016683
pm25_roll_std_7,0.009020283298772054
pm25_roll_std_14,0.008962963189915543
wind_v_mean,0.008889694836365045
pm25_roll_std_30,0.008590421175143496
temp_mean_roll_mean_7,0.0075790806436569534
pm10_roll_mean_7,0.007470724897889404
temp_mean_lag1,0.007435578550642477
week_of_year,0.007242410773504129
pm2_5_mean_lag4,0.007200356936707869
aqi_daily_lag3,0.007195948729023187
pm2_5_mean_lag5,0.006611269010008087
aqi_daily_lag6,0.005920197092560996
wind_u_mean_lag3,0.0058173955336407734
aqi_roll_std_30,0.005743239328393798
pm2_5_mean_lag3,0.00573564467556468
temp_max,0.005667968096598786
wind_u_mean,0.00564950278010405
wind_u_mean_roll_mean_3,0.00562990855876847
no2_mean,0.005550241139758671
humidity_mean_lag3,0.0054964021816098114
wind_v_mean_lag1,0.005476815892286185
wind_v_mean_lag3,0.005465029770059683
humidity_mean_roll_std_7,0.0054014431177936174
aqi_daily_lag4,0.005367391187882918
pm2_5_mean_lag6,0.005355928866769608
aqi_daily_lag2,0.005355692754663787
pm2_5_mean_lag7,0.005352942967661869
wind_v_mean_lag2,0.005252960721176541
temp_mean_lag2,0.005139536614876269
pm10_mean_lag3,0.0050003306755012815
wind_u_mean_lag2,0.0049859779020239876
pm10_mean_lag7,0.004950426357060292
wind_u_mean_roll_std_3,0.004914941366562978
humidity_mean,0.004906039725935572
aqi_daily_lag5,0.004875499530703173
wind_speed_mean,0.004826390003427981
pm10_roll_std_30,0.004815661871658145
o3_8h_max_ppb,0.00467505861646501
pm10_mean_lag5,0.0046529501416548
temp_range,0.004618192995785997
aqi_daily_lag7,0.004615559271358985
aqi_roll_std_14,0.004579359688848394
o3_mean,0.0045673721068306425
pm10_mean_lag6,0.004487139040138034
pm2_5_mean_lag2,0.004454730421756634
clouds_mean,0.004434357916411117
humidity_mean_lag2,0.004430061661468248
wind_gust_max,0.004411590752381434
pm10_mean_lag4,0.004365904173420733
pm10_roll_mean_3,0.004328931001656006
wind_v_mean_roll_std_7,0.004315980438310162
wind_v_mean_roll_std_3,0.00430420259542799
wind_u_mean_lag1,0.004302391990670909
pm25_roll_std_3,0.004279769158379487
humidity_mean_roll_std_3,0.004185004711356032
wind_u_mean_roll_std_7,0.004184900482898063
humidity_mean_roll_mean_7,0.004172154038932981
pm10_mean_lag1,0.0041466247474935825
pm10_roll_std_14,0.004140734201315713
aqi_roll_std_7,0.004121695516764574
temp_mean_roll_std_3,0.004121126290773601
wind_speed_max,0.004032020195124904
humidity_mean_roll_mean_3,0.003937264661914824
aqi_roll_std_3,0.0039044537525966525
month,0.0038818299221133356
aqi_change_rate,0.0038312736421982096
temp_mean_lag3,0.0038112219163416
pm10_mean_lag2,0.003797887371979223
temp_mean_roll_std_7,0.003751635653714259
pm10_mean,0.003566207910246253
pm10_roll_std_7,0.003551116170461624
no_mean,0.0035313948120407933
pm10_roll_std_3,0.0034665251021845558
humidity_mean_lag1,0.003452509581027646
day_of_week,0.0019677196121003432
is_weekend,0.0003630778448654631
rain_sum,0.00022574001162363388
num_hours,0.00013813556026816425
visibility_mean,0.0
snow_sum,0.0
imputed,0.0
is_complete_day,0.0
