feature,gain
doy_cos,29600829.09326172
aqi_daily,6099163.25
pm2_5_mean,4602466.811767578
wind_u_mean_roll_mean_7,1429696.34765625
pm25_roll_mean_3,875364.8583984375
aqi_roll_mean_3,826568.5776367188
temp_max,646029.2707519531
pm10_roll_mean_30,301330.71240234375
wind_v_mean,252534.201171875
day_of_year,245703.78051757812
pm10_mean,236400.66088867188
clouds_mean,228721.63122558594
pm10_mean_lag4,195586.40234375
temp_range,186543.99169921875
pm25_roll_mean_14,177987.0
wind_u_mean_lag3,156845.80078125
nh3_mean,141085.189453125
temp_mean_roll_mean_3,131317.09252929688
wind_v_mean_roll_std_3,129722.798828125
temp_mean_roll_std_3,125787.703125
o3_8h_max_ppb,115125.19921875
humidity_mean_roll_std_7,111243.09838867188
pm10_roll_std_14,106232.388671875
co_mean,100132.5
aqi_roll_mean_7,99905.3984375
pm10_roll_std_7,88644.2392578125
humidity_mean_roll_std_3,84039.001953125
wind_u_mean_lag1,81129.0
no_mean,80617.82043457031
aqi_roll_std_14,76569.53833007812
aqi_daily_lag3,75465.798828125
aqi_roll_std_30,74914.67309570312
pm10_mean_lag7,69756.08984375
aqi_daily_lag5,64590.1015625
wind_u_mean,56215.099609375
temp_mean_roll_std_7,46888.15966796875
pm10_mean_lag5,46271.52099609375
aqi_change_rate,43210.44921875
pressure_mean,38814.73046875
day_of_week,35641.1015625
pm25_roll_std_14,34836.830078125
pm25_roll_mean_7,32506.580810546875
pm10_roll_std_3,29051.2490234375
wind_speed_max,28242.5
aqi_daily_lag7,27132.0
wind_u_mean_lag2,25018.69921875
aqi_daily_lag4,23170.0
pm10_roll_mean_14,22796.3603515625
temp_mean,22027.2001953125
temp_mean_roll_mean_7,21610.900390625
temp_min,21187.4501953125
humidity_mean_lag1,21122.19921875
pm25_roll_std_7,16827.60986328125
pm2_5_mean_lag2,16157.2001953125
pm2_5_mean_lag5,15671.2900390625
wind_v_mean_roll_std_7,12662.260009765625
wind_v_mean_roll_mean_7,11659.880126953125
pm10_mean_lag6,7262.43017578125
no2_mean,7171.065979003906
aqi_roll_std_7,6284.009765625
pm2_5_mean_lag6,5532.5
doy_sin,5372.739990234375
pm25_roll_std_3,4357.3701171875
pm25_roll_mean_30,4046.510009765625
humidity_mean_lag3,3576.929931640625
aqi_roll_std_3,3423.780029296875
o3_mean,2407.969970703125
rain_sum,2192.260009765625
wind_v_mean_roll_mean_3,1948.739990234375
wind_u_mean_roll_std_3,1921.489990234375
wind_u_mean_roll_std_7,1643.5899658203125
week_of_year,747.5269775390625
so2_mean,0.0
wind_speed_mean,0.0
imputed,0.0
snow_sum,0.0
num_hours,0.0
humidity_mean,0.0
pm2_5_mean_lag3,0.0
pm2_5_mean_lag1,0.0
aqi_daily_lag6,0.0
aqi_daily_lag2,0.0
is_weekend,0.0
month,0.0
aqi_daily_lag1,0.0
is_complete_day,0.0
visibility_mean,0.0
wind_gust_max,0.0
dew_point_mean,0.0
pm2_5_mean_lag7,0.0
pm10_mean_lag3,0.0
pm10_mean_lag2,0.0
pm10_mean_lag1,0.0
aqi_roll_mean_14,0.0
pm10_roll_mean_7,0.0
pm10_roll_mean_3,0.0
pm25_roll_std_30,0.0
aqi_roll_mean_30,0.0
pm2_5_mean_lag4,0.0
temp_mean_lag1,0.0
temp_mean_lag3,0.0
pm10_roll_std_30,0.0
humidity_mean_roll_mean_7,0.0
humidity_mean_roll_mean_3,0.0
humidity_mean_lag2,0.0
temp_mean_lag2,0.0
wind_u_mean_roll_mean_3,0.0
wind_v_mean_lag3,0.0
wind_v_mean_lag1,0.0
wind_v_mean_lag2,0.0
