feature,gain
doy_cos,44329976.18395996
aqi_daily,4952406.162353516
aqi_roll_mean_3,1605409.5495605469
pm25_roll_mean_3,1541842.5723876953
pm10_mean_lag4,809648.7569122314
humidity_mean_roll_std_7,777706.0393676758
pm2_5_mean,703633.7673683167
day_of_year,692181.8807678223
temp_max,662225.6270141602
aqi_roll_mean_30,565759.4201660156
temp_mean,467829.5711669922
pm10_mean,465399.30157470703
doy_sin,443799.8308105469
temp_range,436426.7292480469
wind_u_mean_roll_mean_7,436253.84521484375
wind_u_mean_lag3,410825.70458984375
aqi_roll_std_7,394803.57470703125
temp_mean_roll_std_3,386437.1013183594
pm10_mean_lag7,383823.4992675781
aqi_daily_lag7,357394.84814453125
wind_v_mean,354819.3646469116
o3_8h_max_ppb,353862.6572265625
wind_v_mean_roll_std_3,350584.59765625
pm25_roll_mean_14,339215.69921875
no_mean,330391.94720458984
humidity_mean_roll_mean_3,329700.62115478516
pressure_mean,317677.89056396484
humidity_mean_roll_std_3,284708.47982788086
aqi_daily_lag3,280651.98107910156
pm10_roll_mean_30,280412.05632019043
wind_v_mean_roll_std_7,267272.87310791016
humidity_mean_lag1,259567.02380371094
pm10_roll_std_30,258939.650390625
pm25_roll_std_30,251192.12873840332
pm25_roll_mean_30,249446.3851928711
clouds_mean,221333.90063476562
pm10_mean_lag3,216893.76171875
aqi_roll_std_30,212000.5789794922
pm25_roll_std_14,200007.23223876953
temp_mean_lag3,199921.37890625
humidity_mean,192496.9644165039
o3_mean,191086.38018798828
wind_u_mean_roll_std_7,185266.33647155762
humidity_mean_roll_mean_7,182281.55883789062
day_of_week,168431.701171875
pm2_5_mean_lag6,162768.923828125
pm2_5_mean_lag3,161798.796875
nh3_mean,157532.29010009766
wind_v_mean_roll_mean_7,155003.796875
wind_u_mean,153890.3296508789
no2_mean,153478.12353515625
wind_v_mean_lag3,147446.6255493164
pm25_roll_std_3,146582.1015625
pm10_roll_mean_14,140965.17947387695
temp_mean_lag2,129024.421875
pm10_roll_std_7,128703.05834960938
pm10_mean_lag6,126031.3310546875
aqi_roll_std_14,123281.45611572266
wind_v_mean_lag2,116468.13638305664
aqi_daily_lag1,115930.93994140625
aqi_roll_std_3,114174.66101074219
pm2_5_mean_lag7,111169.84794616699
pm10_roll_std_3,101376.39811706543
temp_min,100819.25894165039
wind_u_mean_lag1,97399.40270996094
aqi_roll_mean_14,90063.18774414062
pm25_roll_std_7,85971.22064208984
wind_speed_max,82691.65753173828
wind_u_mean_roll_std_3,82445.38903808594
aqi_daily_lag4,80111.85961914062
aqi_daily_lag5,72731.26170349121
pm2_5_mean_lag5,72348.2509765625
pm2_5_mean_lag2,68129.30908203125
aqi_daily_lag6,67445.24938964844
aqi_roll_mean_7,66086.09921264648
humidity_mean_lag3,65799.240234375
wind_u_mean_roll_mean_3,63730.40933227539
wind_speed_mean,63417.581619262695
pm10_mean_lag5,61935.73370361328
aqi_change_rate,60761.36560821533
temp_mean_roll_mean_3,56639.16468811035
pm10_mean_lag2,56568.734619140625
wind_v_mean_roll_mean_3,55660.29036331177
wind_v_mean_lag1,53565.693908691406
co_mean,51150.599609375
dew_point_mean,49113.12110900879
pm10_roll_mean_3,44603.1689453125
pm10_mean_lag1,43710.6201171875
wind_u_mean_lag2,41949.900329589844
pm10_roll_std_14,40632.53921508789
temp_mean_lag1,37815.87878417969
so2_mean,34207.74362182617
humidity_mean_lag2,31559.880615234375
pm25_roll_mean_7,27583.330078125
temp_mean_roll_std_7,25960.768188476562
temp_mean_roll_mean_7,24321.57000732422
week_of_year,16477.900390625
aqi_daily_lag2,8116.97998046875
month,2521.0
rain_sum,2113.169921875
pm10_roll_mean_7,1671.5899353027344
wind_gust_max,1043.93994140625
pm2_5_mean_lag1,0.0
is_weekend,0.0
imputed,0.0
is_complete_day,0.0
visibility_mean,0.0
snow_sum,0.0
num_hours,0.0
pm2_5_mean_lag4,0.0
