feature,gain
doy_cos,45677684.65673828
pm25_roll_mean_14,2383671.2001953125
pm25_roll_mean_3,1837996.4603271484
temp_max,758212.0737304688
humidity_mean_roll_std_7,719346.1730957031
pm10_mean_lag3,696289.8732910156
pm10_mean_lag7,663887.2979125977
wind_u_mean_roll_mean_7,663079.197265625
wind_u_mean_lag3,609070.6606445312
pm2_5_mean,556362.6855545044
doy_sin,461054.1104736328
day_of_year,457178.1466808319
wind_v_mean_roll_mean_3,415356.708984375
wind_u_mean_roll_std_7,404949.7066421509
aqi_daily_lag6,388415.5126953125
pm25_roll_std_30,359235.16998291016
wind_v_mean,342483.75
nh3_mean,339574.64514160156
aqi_daily_lag7,334784.49322509766
wind_u_mean_lag2,309704.9196777344
aqi_daily_lag2,290588.966796875
wind_v_mean_lag2,265281.80322265625
pm10_mean_lag2,263382.9404296875
temp_mean_lag2,253389.1005859375
wind_v_mean_roll_std_3,233201.6607055664
aqi_roll_std_3,221422.65393066406
aqi_roll_mean_3,213571.39706420898
pressure_mean,210080.62255477905
aqi_roll_std_30,194253.8592529297
humidity_mean_roll_std_3,190851.61840820312
wind_v_mean_roll_std_7,189155.8131790161
pm10_mean_lag6,186032.64135742188
aqi_roll_mean_14,179661.302734375
wind_v_mean_roll_mean_7,176299.49084472656
pm10_roll_std_30,172670.49194335938
wind_u_mean_roll_mean_3,168779.65002441406
wind_u_mean_roll_std_3,168595.44970703125
aqi_roll_mean_30,167244.24047851562
pm25_roll_std_7,160848.9599609375
no2_mean,158768.03979492188
wind_v_mean_lag1,157197.2781982422
humidity_mean,154173.4375
wind_speed_mean,147976.50155639648
temp_mean_roll_std_3,145484.97680664062
pm25_roll_std_14,144885.97119140625
wind_speed_max,141324.08248901367
aqi_roll_std_7,139639.48107910156
clouds_mean,137079.8692626953
pm25_roll_mean_30,135898.44653320312
pm10_mean_lag5,134723.62951660156
pm10_roll_std_3,133741.55126953125
humidity_mean_roll_mean_3,132342.599609375
pm10_roll_mean_30,124951.47021484375
pm10_mean_lag4,123819.42114257812
pm10_roll_std_14,122452.5834350586
pm10_roll_mean_3,119059.400390625
pm2_5_mean_lag5,110708.71154785156
humidity_mean_roll_mean_7,108852.36047363281
aqi_roll_std_14,106636.99877929688
dew_point_mean,104045.00048828125
wind_v_mean_lag3,95184.01806640625
temp_range,95072.75
pm10_roll_std_7,88749.1240234375
pm10_roll_mean_14,84901.15234375
aqi_daily_lag3,81741.52621459961
humidity_mean_lag1,81269.93981933594
pm2_5_mean_lag7,67052.32958984375
humidity_mean_lag2,65164.58923339844
pm25_roll_std_3,63772.22900390625
co_mean,61583.529052734375
pm2_5_mean_lag1,59782.92980957031
temp_mean_roll_mean_3,58412.2314453125
aqi_daily,57257.841369628906
humidity_mean_lag3,54744.7099609375
temp_mean_lag3,52511.630126953125
pm2_5_mean_lag4,52273.169921875
aqi_daily_lag4,49107.03125
temp_mean_roll_std_7,47004.93701171875
o3_mean,46522.4375
wind_u_mean,45041.87322998047
pm2_5_mean_lag6,43094.060546875
pm10_roll_mean_7,42618.38024902344
no_mean,40296.63000488281
wind_u_mean_lag1,40212.290283203125
temp_mean_roll_mean_7,38369.75308227539
day_of_week,29643.510009765625
so2_mean,29357.024536132812
o3_8h_max_ppb,28932.099609375
pm2_5_mean_lag3,22458.370361328125
pm10_mean,22361.01025390625
temp_mean_lag1,21430.910278320312
aqi_change_rate,18521.229736328125
aqi_daily_lag1,18333.0703125
pm25_roll_mean_7,16668.258178710938
temp_mean,16599.97998046875
wind_gust_max,10884.99560546875
aqi_roll_mean_7,10791.919921875
temp_min,9912.959838867188
pm10_mean_lag1,6767.7200927734375
pm2_5_mean_lag2,6658.81982421875
aqi_daily_lag5,0.0
week_of_year,0.0
visibility_mean,0.0
num_hours,0.0
month,0.0
is_weekend,0.0
rain_sum,0.0
snow_sum,0.0
imputed,0.0
is_complete_day,0.0
