feature,mean_abs_shap
aqi_daily,18.7590517625491
pm2_5_mean,9.209380463109431
doy_cos,5.527401204338548
pm25_roll_mean_3,3.5730749657165393
pm10_mean,2.041409253892486
aqi_roll_mean_3,1.168300821958747
nh3_mean,1.1672623344155055
clouds_mean,1.1409525126356388
wind_u_mean_lag3,1.0823868634209763
no_mean,0.990725079185901
wind_u_mean,0.9410846686609469
humidity_mean,0.8445509570325088
wind_u_mean_roll_mean_7,0.7913117637577349
pm10_mean_lag5,0.7545690211227668
temp_mean_lag1,0.6796983939220961
wind_v_mean_roll_mean_3,0.6386931276622848
aqi_change_rate,0.6362795349812127
wind_v_mean,0.5528010965699964
wind_speed_mean,0.5269763986276984
temp_range,0.5023403248760302
so2_mean,0.4807954428677883
temp_max,0.4689834782304302
pressure_mean,0.3865617002147495
pm25_roll_mean_7,0.3655125448580882
wind_u_mean_roll_std_3,0.3280298180416665
o3_mean,0.32655175225964983
aqi_daily_lag4,0.32416216433690953
day_of_year,0.31998325080654255
no2_mean,0.3188841083704693
humidity_mean_lag1,0.30168173233550705
humidity_mean_roll_mean_3,0.27463013809302067
wind_v_mean_lag3,0.23777851014002055
pm25_roll_std_30,0.2298560133844842
wind_u_mean_lag1,0.21462031419353886
humidity_mean_roll_std_3,0.2098914790489861
wind_u_mean_roll_mean_3,0.20703780514948314
pm2_5_mean_lag6,0.1955739831822742
aqi_daily_lag6,0.18677013637173406
pm10_roll_mean_30,0.18488676963862988
humidity_mean_roll_std_7,0.16301853255130466
co_mean,0.1585105295696092
pm10_roll_std_30,0.15460579539323963
aqi_roll_std_7,0.15343142848636462
pm25_roll_std_7,0.1513007129441138
pm10_mean_lag1,0.1433993178815316
aqi_roll_std_30,0.13870827071844183
wind_v_mean_lag2,0.13485089672443656
pm10_roll_mean_14,0.1330698536231403
pm10_roll_mean_3,0.13113306970249378
aqi_roll_std_14,0.12806970155014533
pm10_mean_lag2,0.12741594138992082
aqi_daily_lag2,0.12739849159282507
pm25_roll_std_14,0.12730207782004432
wind_v_mean_roll_std_7,0.12578214216271685
wind_v_mean_lag1,0.1256784979445858
wind_u_mean_roll_std_7,0.12289088826107011
aqi_daily_lag3,0.11335197434199876
temp_min,0.11295932459739849
aqi_roll_std_3,0.11101056900282533
pm10_roll_std_3,0.10646790155474921
pm10_mean_lag4,0.09939916435902922
pm25_roll_std_3,0.09717495802248356
pm10_mean_lag3,0.09672502055308786
pm25_roll_mean_14,0.09653812505581279
aqi_daily_lag5,0.09625980142088804
humidity_mean_lag3,0.09069241034475967
week_of_year,0.0898589046664017
temp_mean_roll_std_7,0.08679388453066987
wind_v_mean_roll_std_3,0.08550360830988989
temp_mean_roll_mean_7,0.08542541042279289
pm25_roll_mean_30,0.07917661847174218
pm2_5_mean_lag5,0.07826785550981981
dew_point_mean,0.07751539344691924
humidity_mean_roll_mean_7,0.07205817922282032
temp_mean,0.06519338496532319
pm2_5_mean_lag7,0.06397864972556148
pm10_roll_std_14,0.06355016112995392
temp_mean_lag3,0.05580747104382114
pm2_5_mean_lag3,0.05538883120293563
aqi_roll_mean_30,0.05488268586837302
wind_v_mean_roll_mean_7,0.05436254495314734
humidity_mean_lag2,0.05206152131468746
temp_mean_lag2,0.05108964407815776
doy_sin,0.0510807268684038
pm10_mean_lag6,0.04521638325517786
pm10_roll_mean_7,0.04509731250459736
pm10_mean_lag7,0.044473992630001284
wind_u_mean_lag2,0.04436787260785081
temp_mean_roll_mean_3,0.041653542721377494
wind_gust_max,0.036902695776712985
aqi_roll_mean_7,0.036466198920381956
pm2_5_mean_lag4,0.03183808012354474
wind_speed_max,0.03148324759888452
aqi_daily_lag1,0.03139152615917633
pm2_5_mean_lag2,0.030699237663750826
o3_8h_max_ppb,0.029556828756530654
pm10_roll_std_7,0.025602290009735244
temp_mean_roll_std_3,0.02551175000293637
day_of_week,0.02106949369302143
rain_sum,0.017974223761359483
aqi_roll_mean_14,0.017221260416899992
aqi_daily_lag7,0.006574241778947779
pm2_5_mean_lag1,0.0
month,0.0
is_weekend,0.0
is_complete_day,0.0
visibility_mean,0.0
snow_sum,0.0
imputed,0.0
num_hours,0.0
