feature,mean_abs_shap
aqi_daily,8.354588374208003
aqi_roll_mean_3,2.7584709999536257
pm10_mean,2.6348748452659096
pm2_5_mean,1.3117941610553923
temp_max,0.6721489504836462
pm25_roll_mean_3,0.6363830816549603
wind_speed_mean,0.5922418294491698
clouds_mean,0.5604768626240831
aqi_change_rate,0.4681211420327151
humidity_mean_roll_mean_3,0.451371081028099
wind_u_mean_roll_std_3,0.4221651130711965
pm10_roll_std_3,0.4056943140099894
wind_v_mean,0.3883539830228797
wind_v_mean_lag2,0.36999493654976984
wind_speed_max,0.3637863671741377
aqi_roll_std_7,0.34921491752246675
humidity_mean_lag1,0.34765438041484187
pm25_roll_std_3,0.3159592096405848
aqi_roll_std_14,0.30399232726066566
pressure_mean,0.2995987298533917
pm2_5_mean_lag7,0.2843060431718496
humidity_mean_roll_std_3,0.26151541928613287
pm2_5_mean_lag4,0.2599219619577393
wind_v_mean_lag3,0.24769691161678328
pm25_roll_mean_7,0.24654737203280166
aqi_daily_lag2,0.23942185961946774
wind_u_mean_roll_mean_7,0.22556542563398843
aqi_daily_lag3,0.2181256923723187
pm25_roll_std_7,0.20739123853655855
aqi_roll_std_3,0.19173503617443832
wind_u_mean_roll_std_7,0.17180789992583753
wind_u_mean,0.17083642949584732
pm10_mean_lag5,0.16505794465224727
aqi_roll_std_30,0.16116253202892603
temp_mean_roll_std_7,0.15895715431577087
pm10_roll_mean_14,0.14875252402764796
aqi_roll_mean_7,0.14629351964708048
temp_range,0.13489812914497307
wind_v_mean_roll_mean_3,0.1182513173829506
pm10_mean_lag2,0.11487962883294733
pm25_roll_std_14,0.11477307286018389
pm10_roll_mean_3,0.1116001301635673
aqi_daily_lag5,0.10993500235380269
pm10_roll_mean_30,0.1077696793825038
humidity_mean_lag3,0.10562901168491207
wind_v_mean_roll_std_7,0.10009516381364113
pm10_mean_lag7,0.09893115564150842
pm10_roll_mean_7,0.09387363021318597
temp_mean_roll_std_3,0.09177049031680315
dew_point_mean,0.09027097315426183
wind_u_mean_lag1,0.08804997902228417
pm10_mean_lag4,0.08574067904223401
pm10_mean_lag3,0.08270716354022252
o3_mean,0.08151430469666736
aqi_roll_mean_14,0.07778610416151559
pm10_roll_std_14,0.07585396565135666
pm2_5_mean_lag2,0.07153403844062861
pm10_roll_std_7,0.06777303685946312
pm10_roll_std_30,0.06755957485250193
pm2_5_mean_lag5,0.060041316299290534
temp_mean_roll_mean_7,0.0583097705492484
wind_u_mean_lag3,0.05788620448764205
wind_v_mean_roll_std_3,0.05044426906622693
humidity_mean_roll_std_7,0.050313863542214836
wind_gust_max,0.0473253410443823
pm2_5_mean_lag6,0.04506222502588846
doy_sin,0.03722916678767027
pm2_5_mean_lag1,0.035920787257928764
aqi_daily_lag6,0.03441215459378455
pm25_roll_std_30,0.03309235400222532
temp_mean,0.031943153051996395
aqi_daily_lag4,0.03168263699841651
day_of_week,0.029691428858755507
humidity_mean,0.028770938311683637
humidity_mean_lag2,0.026434782320607694
wind_u_mean_lag2,0.02598555283403857
pm10_mean_lag1,0.025496151299778724
wind_u_mean_roll_mean_3,0.023786790710565754
aqi_daily_lag7,0.019120763132532716
pm10_mean_lag6,0.018208504081175293
wind_v_mean_lag1,0.012916446751528138
humidity_mean_roll_mean_7,0.0072811867764248145
wind_v_mean_roll_mean_7,0.0038819422272959475
o3_8h_max_ppb,0.002400327497430826
aqi_roll_mean_30,3.550765815209584e-05
aqi_daily_lag1,3.468761679439325e-05
temp_mean_lag3,1.1835886050685455e-05
is_weekend,0.0
pm2_5_mean_lag3,0.0
no_mean,0.0
num_hours,0.0
nh3_mean,0.0
so2_mean,0.0
temp_min,0.0
co_mean,0.0
no2_mean,0.0
month,0.0
day_of_year,0.0
week_of_year,0.0
doy_cos,0.0
imputed,0.0
is_complete_day,0.0
rain_sum,0.0
snow_sum,0.0
visibility_mean,0.0
pm25_roll_mean_14,0.0
pm25_roll_mean_30,0.0
temp_mean_lag2,0.0
temp_mean_roll_mean_3,0.0
temp_mean_lag1,0.0
