feature,mean_abs_shap
doy_cos,7.303234871662764
co_mean,4.4892354492351325
pm25_roll_mean_3,3.611139910438139
aqi_roll_mean_3,3.277834952477316
aqi_roll_mean_7,3.0825166334489986
pm25_roll_mean_14,2.902896881535955
wind_u_mean_roll_mean_7,2.670185298463542
aqi_roll_mean_14,2.6499418352404893
aqi_daily,2.647359245954718
pm25_roll_mean_7,2.5259601177226405
pm2_5_mean,2.144497609592866
no_mean,2.0968649348960238
pressure_mean,1.73199324302969
pm10_mean,1.3643726651061907
so2_mean,1.3435181635417917
no2_mean,1.3173583993321782
aqi_roll_mean_30,1.3112176887142537
temp_min,1.2658862853828727
temp_mean,1.1659576593672836
pm25_roll_mean_30,1.1473011462899054
pm10_roll_mean_14,1.0286622036640716
pm25_roll_std_7,1.008428294114274
nh3_mean,0.9702271778056014
pm10_roll_mean_30,0.9140417952868157
wind_v_mean_roll_mean_3,0.8516672038699267
temp_mean_roll_mean_3,0.8359225982524648
day_of_year,0.7884764459054142
aqi_daily_lag1,0.7692532987961717
week_of_year,0.6943542773888168
dew_point_mean,0.6704994682202112
aqi_daily_lag2,0.6591433092199802
pm2_5_mean_lag2,0.6361702196834774
pm2_5_mean_lag1,0.6319583713855017
aqi_change_rate,0.5925515391364122
wind_u_mean_lag3,0.5707959858756861
wind_v_mean,0.5680467601443224
pm25_roll_std_14,0.5119289810956448
pm10_roll_mean_3,0.4751111243374169
wind_v_mean_roll_mean_7,0.4558970428343375
temp_max,0.4508899355555957
temp_mean_lag1,0.4056300421511581
wind_v_mean_lag1,0.4006652800743271
temp_mean_roll_mean_7,0.3942421348735419
doy_sin,0.39186519096621353
aqi_roll_std_30,0.3847272254309174
wind_v_mean_lag2,0.3610584227036245
month,0.3552749420406028
pm10_mean_lag4,0.34181743430324707
temp_mean_lag2,0.3311778125183565
wind_u_mean_lag2,0.3176850273089512
aqi_daily_lag6,0.3096559937384814
aqi_daily_lag4,0.3034450820572199
clouds_mean,0.2820932110143935
pm2_5_mean_lag5,0.2803483656884
wind_u_mean_roll_mean_3,0.277875986259509
aqi_daily_lag5,0.277861243825366
temp_mean_roll_std_7,0.26558290857790706
pm10_roll_std_3,0.2607715408060918
aqi_daily_lag7,0.2568301163044217
pm25_roll_std_30,0.2557908861216157
temp_mean_roll_std_3,0.24607786806176424
wind_speed_max,0.2441565024277828
pm2_5_mean_lag3,0.24404584119052852
humidity_mean_roll_std_3,0.24195245004810848
wind_u_mean,0.23534489945984072
pm2_5_mean_lag7,0.2336866976986298
pm10_mean_lag5,0.22439227473406267
pm10_roll_std_30,0.2183176390872027
pm2_5_mean_lag6,0.2062149497267728
wind_v_mean_roll_std_3,0.20519297093754277
wind_v_mean_roll_std_7,0.17972504807635342
humidity_mean_roll_mean_7,0.17751516198080264
aqi_roll_std_7,0.17409181793456802
pm10_roll_std_14,0.16891693228393218
pm2_5_mean_lag4,0.1686149048766261
temp_mean_lag3,0.1578384024342722
wind_v_mean_lag3,0.15525434210222544
aqi_roll_std_14,0.1537353897166807
aqi_roll_std_3,0.15216888038705298
humidity_mean_roll_std_7,0.15003474396734454
pm10_mean_lag6,0.14875873327759337
pm10_mean_lag7,0.1476502180485075
o3_8h_max_ppb,0.14560267325418996
wind_speed_mean,0.13781431168899486
pm25_roll_std_3,0.1353826381126
pm10_roll_std_7,0.13201657870515562
aqi_daily_lag3,0.1250975080803841
temp_range,0.12305544910816994
wind_gust_max,0.10991360010350451
humidity_mean_lag1,0.10821494780977454
wind_u_mean_lag1,0.10290634063974774
humidity_mean_roll_mean_3,0.10113551571473722
pm10_mean_lag3,0.09844950339568087
pm10_mean_lag2,0.09512507167499808
pm10_roll_mean_7,0.09282853896253385
wind_u_mean_roll_std_3,0.08835237314532343
humidity_mean_lag2,0.08444765629692887
humidity_mean_lag3,0.08332332110039409
wind_u_mean_roll_std_7,0.08164492767401803
humidity_mean,0.08069562542737813
pm10_mean_lag1,0.0793238510705383
is_weekend,0.049990570039579865
o3_mean,0.04782380140018372
day_of_week,0.03846437692130968
rain_sum,0.023768468546491686
num_hours,0.0038241151888089575
is_complete_day,0.0010310482474070717
imputed,0.0005033185159150122
visibility_mean,0.0
snow_sum,0.0
