feature,mean_abs_shap
doy_cos,8.124859052284803
pm25_roll_mean_14,3.193963304790503
pm25_roll_mean_3,3.0969536262142507
aqi_roll_mean_14,3.0422304625811774
aqi_roll_mean_7,3.0282394422233203
co_mean,2.7513017155729345
pressure_mean,2.562882593264741
wind_u_mean_roll_mean_7,2.546360495338399
pm25_roll_mean_7,2.3917580754444185
aqi_roll_mean_3,2.111282966998494
so2_mean,1.6487922819957674
aqi_roll_mean_30,1.645798802981663
pm10_roll_mean_30,1.5414486740182463
temp_min,1.4718874721011683
wind_v_mean_roll_mean_3,1.2756805785234722
pm25_roll_mean_30,1.268440753607136
pm2_5_mean_lag1,1.241005841331905
day_of_year,1.1729092955474443
nh3_mean,1.1442037855300669
pm10_roll_mean_14,1.0951167153408072
pm25_roll_std_7,1.0858566941251246
no_mean,1.0700787558501565
temp_mean,1.0536433691576188
aqi_daily_lag1,1.0333461573783185
pm2_5_mean,1.0082234520355227
wind_u_mean_roll_mean_3,0.8479024567642474
no2_mean,0.8393541427991963
aqi_daily,0.7681410284571046
wind_v_mean,0.737405199631655
wind_u_mean_lag3,0.7271164998965696
wind_u_mean_lag2,0.7021994699758265
wind_speed_max,0.6887898122598208
temp_mean_roll_mean_3,0.6805177284977474
week_of_year,0.6573088336459749
pm25_roll_std_14,0.5679191495948499
wind_v_mean_roll_mean_7,0.5216974513472312
wind_v_mean_lag1,0.5216633331682582
wind_speed_mean,0.5117364746762956
pm10_mean,0.47643080742480476
doy_sin,0.4469334197488723
dew_point_mean,0.4320453341043841
temp_mean_roll_mean_7,0.43014921174778936
month,0.4178295816127307
pm2_5_mean_lag2,0.3921401131440907
temp_mean_lag2,0.3875566789474608
aqi_daily_lag3,0.3851626136203989
pm2_5_mean_lag3,0.36999045193321733
aqi_roll_std_30,0.34957247276428205
pm2_5_mean_lag6,0.3484648351594977
pm2_5_mean_lag4,0.3474052122143959
temp_max,0.3358660825129034
temp_mean_lag1,0.3304260187809904
pm25_roll_std_30,0.3164787985798702
pm10_mean_lag4,0.3139356833250127
aqi_daily_lag4,0.3036997062419509
wind_u_mean,0.30184450730575924
aqi_daily_lag6,0.3014448376369162
temp_mean_roll_std_7,0.3013735141460466
clouds_mean,0.29778682551462243
wind_u_mean_lag1,0.2913880628816832
aqi_roll_std_14,0.28639311040734877
temp_mean_lag3,0.2774995919602844
pm10_mean_lag7,0.2691305972466243
humidity_mean_roll_std_7,0.26397825268872527
aqi_daily_lag5,0.262918540602324
o3_8h_max_ppb,0.26287615315903007
pm10_roll_std_30,0.26229623702264254
wind_u_mean_roll_std_7,0.24765317696687286
pm25_roll_std_3,0.2454214130270806
wind_v_mean_lag2,0.23799387532118807
pm2_5_mean_lag7,0.23728707641674898
aqi_daily_lag2,0.23398235883182703
pm2_5_mean_lag5,0.23389864969014698
pm10_mean_lag3,0.22593442637072814
humidity_mean_roll_mean_7,0.21428306485552406
pm10_roll_mean_7,0.21210265595392058
temp_range,0.21181480591561208
pm10_mean_lag6,0.20685109570210392
wind_v_mean_roll_std_7,0.2060674407664401
wind_v_mean_lag3,0.20302992008270945
pm10_mean_lag5,0.1762301394012647
wind_v_mean_roll_std_3,0.16644958085423217
aqi_daily_lag7,0.1494967310850712
pm10_roll_std_14,0.1478417966096171
wind_gust_max,0.14311473237225336
aqi_roll_std_7,0.14199061239298058
aqi_change_rate,0.13928555502873738
pm10_roll_std_3,0.1361416188695159
wind_u_mean_roll_std_3,0.13019923096601974
pm10_mean_lag1,0.1260312348874071
temp_mean_roll_std_3,0.12512138191977018
humidity_mean_roll_std_3,0.1166321929515662
pm10_roll_std_7,0.10920837009554123
aqi_roll_std_3,0.10874518011683215
humidity_mean_lag2,0.10458514165717395
humidity_mean_roll_mean_3,0.09689949018609793
humidity_mean,0.0902898621194728
humidity_mean_lag1,0.08513812367103611
pm10_roll_mean_3,0.08343868087203234
humidity_mean_lag3,0.06863976834518282
pm10_mean_lag2,0.06419081875222608
o3_mean,0.04853816446438958
rain_sum,0.04655846589772987
day_of_week,0.03880056025659731
is_weekend,0.014355859183846416
num_hours,0.003035138958450648
imputed,0.0013000342383787872
is_complete_day,0.001168392137596795
visibility_mean,0.0
snow_sum,0.0
