datetime,temperature_2m,pm10_lag_1,pm10_lag_2,pm10_lag_3,pm10_lag_6,pm10_lag_12,pm10_lag_24,pm10_rolling_mean_3,pm10_rolling_mean_6,pm10_rolling_mean_12,pm10_rolling_mean_24,pm10_rolling_std_3,pm10_rolling_std_6,pm10_rolling_std_12,pm10_rolling_std_24,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,pm10
2016-03-12 13:00:00+00:00,-0.6272494764098993,-0.6779820783462426,-0.8773813290057906,-0.37856225726283266,-1.0763085741801621,-0.4772376066247591,-0.07963089992619732,-0.7717825412317545,-0.82334827915801,-0.9514668691812695,-0.40974787239201327,-0.12223514001277377,0.07336917977232914,0.3466854466007323,1.0360533288815188,-0.373775546524794,-1.363634677959855,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,20.0
2016-03-12 14:00:00+00:00,-0.3938414667269762,-0.6779820783462426,-0.6778537003086074,-0.8773813290057906,-1.0763085741801621,-1.4742195217426615,0.11962618480331161,-0.8062585108688574,-0.8053581965443226,-0.9031729525912798,-0.4667863861115478,0.07926011808758693,0.006518483566525419,0.24319766015855046,1.0443638263922776,-0.7157388864747433,-1.2227133435358355,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,17.0
2016-03-12 15:00:00+00:00,-0.19340946491681169,-0.9772904466654859,-0.6778537003086074,-0.6778537003086074,-0.8768288056520489,-1.5739177132544517,0.31888326953282053,-0.8062585108688574,-0.7693780313169459,-0.8162439027292994,-0.5186395804020341,0.07926011808758693,-0.019722551632113373,0.042070106316492356,1.0230471723139392,-1.0093894636977268,-0.998539873595965,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,20.0
2016-03-12 16:00:00+00:00,-0.03961258067322481,-0.6779820783462426,-0.9771451433543822,-0.6778537003086074,-0.37812938433176574,-0.3775394151129689,-0.7770306964794785,-0.7717825412317545,-0.8053581965443226,-0.8355614693652955,-0.5082689415439374,0.20127582863020502,-0.17498176188391257,0.01042117538840439,1.0177587406063748,-1.2347154766365225,-0.70639131965247,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,21.0
2016-03-12 17:00:00+00:00,0.057068182503952604,-0.5782126222398282,-0.6778537003086074,-0.9771451433543822,-0.8768288056520489,-0.6766339896483395,-0.7770306964794785,-0.6683546323204445,-0.7693780313169459,-0.8355614693652955,-0.5030836221148882,-0.32373039811314236,-0.21359522917113888,0.01042117538840439,1.0145486984988001,-1.3763613298781932,-0.3661771228582864,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,20.0
2016-03-12 18:00:00+00:00,0.09004419037671156,-0.6779820783462426,-0.5780898859600159,-0.6778537003086074,-0.6773490371239357,-0.07844484057759818,1.0162830660861017,-0.42702284486072045,-0.6434474530211303,-0.825902686047297,-0.554936816405375,0.796067111717973,0.32570222752553796,0.056542260377548094,0.9176517306263878,-1.424674092605159,-0.0010823184943964971,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,27.0
2016-03-12 19:00:00+00:00,0.057068182503952604,0.020404114398658336,-0.6778537003086074,-0.5780898859600159,-0.6773490371239357,-1.0754267556955004,0.8170259813565929,-0.25464299667520435,-0.5355069573390021,-0.7293148528673188,-0.6016046912668124,0.796067111717974,0.48013975040578855,0.11363110704749509,0.8361888128882511,-1.3763613298781932,0.36401248586949353,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,26.0
2016-03-12 20:00:00+00:00,-0.039612580673224124,-0.07936534170775608,0.020493000131533733,-0.6778537003086074,-0.9765686899161056,-1.0754267556955004,1.0162830660861017,0.0901166996958297,-0.30163588336105707,-0.5940918864153489,-0.6379019272701519,0.20127582863021554,0.583811997156823,0.26005860675882386,0.7422252702681165,-1.2347154766365225,0.7042266826636772,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,30.0
2016-03-12 21:00:00+00:00,-0.19340946491681169,0.3197124827179016,-0.07927081421705785,0.020493000131533733,-0.6773490371239357,-0.8760303726719201,1.3151686931803652,0.02116476042162289,-0.2116854702926174,-0.5264804031893643,-0.715681718705881,0.39814161620607474,0.45108249002811257,0.24383578241711024,0.5275220519784859,-1.0093894636977276,0.9963752366071716,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,25.0
2016-03-12 22:00:00+00:00,-0.3938414667269762,-0.17913479781417052,0.31978444317730853,-0.07927081421705785,-0.577609152859879,-0.3775394151129689,1.3151686931803652,-0.04778717885258429,-0.15771522245155328,-0.516821619871367,-0.7986468295706589,0.5966524611169269,0.32987841355675357,0.24998058075564725,0.24034648409310053,-0.7157388864747443,1.2205487065470424,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,24.0
2016-03-12 23:00:00+00:00,-0.6272494764098993,-0.27890425392058493,-0.17903462856564945,0.31978444317730853,-0.6773490371239357,-0.8760303726719201,-0.876659238844233,-0.3580709055865144,-0.13972513983786475,-0.4878452699173734,-0.7830908712835131,0.2012758286302106,0.24392746949017347,0.20380008701735777,0.2351571967560291,-0.373775546524795,1.3614700409710618,-1.3691391269183837,-0.33470053245646053,1.2219916684109031,1.5289148579438203,21.0
