datetime,pm10,o3,no2,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,hour,day_of_week,month,pm25_lag_1,pm25_lag_24,pm25
2016-11-29 12:00:00+00:00,0.05074750635326975,0.23716033217216867,-0.19223898473424314,0.7120143781524457,-1.772756248391448,-0.16559398762297425,-0.19192459319263028,0.06969270824811806,-0.9952373318709309,1.5269544123558456,-0.1460256426473794,1.0137466620885807,10.0
2016-12-26 12:00:00+00:00,0.05074750635326975,0.23716033217216867,-1.200283794883273,-0.38434826053914756,-0.9099655141425701,-0.16559398762297425,0.4296369731169116,0.06969270824811806,-1.4958088070702122,1.7736621235288879,-0.1460256426473794,-0.14817803753645042,10.0
2016-12-31 01:00:00+00:00,0.05074750635326975,0.23716033217216867,-1.1086433575969976,-0.5382237186011253,1.3764299316169561,0.35563907686667057,-0.2307721910869765,-1.5170319748892702,1.007048568926195,1.7736621235288879,-0.1460256426473794,-0.14817803753645042,10.0
2017-03-05 22:00:00+00:00,0.05074750635326975,0.23716033217216867,1.7322101982775406,-1.1729599831067845,0.5999182707929661,-0.16559398762297425,-0.40558638161153515,1.5121696929184711,1.5076200441254766,-0.4467072770284915,-0.1460256426473794,-0.14817803753645042,10.0
2016-12-23 18:00:00+00:00,0.05074750635326975,0.23716033217216867,-0.10059854744796795,-0.3651138282814004,1.2901508581920684,0.7031277865264338,1.03177474047928,0.9351788990503299,0.5064770937269135,1.7736621235288879,-0.1460256426473794,-0.14817803753645042,10.0
2017-01-18 15:00:00+00:00,0.05074750635326975,0.23716033217216867,0.907446262701062,0.1734502749355227,0.03910429353119555,-0.16559398762297425,-0.07538179950959112,0.502435803649224,-0.4946658566716494,-0.9401226993745758,-0.1460256426473794,-0.14817803753645042,10.0
2017-03-24 07:00:00+00:00,0.05074750635326975,0.23716033217216867,-0.6504411711656204,-1.038318957302554,0.6430578075054101,-0.16559398762297425,-0.2501959900341498,-0.6515457840870584,0.5064770937269135,-0.4467072770284915,-0.1460256426473794,-0.14817803753645042,10.0
2016-11-28 08:00:00+00:00,0.05074750635326975,0.23716033217216867,-0.7420816084518959,-1.442242034715246,0.254801977093415,-0.16559398762297425,-0.40558638161153515,-0.5072980856200231,-1.4958088070702122,1.5269544123558456,-0.1460256426473794,-0.14817803753645042,10.0
2017-04-13 03:00:00+00:00,0.05074750635326975,0.23716033217216867,0.2659632016971338,-0.2881760992504113,0.8587554910676295,-0.16559398762297425,-0.36673878371718877,-1.2285365779551998,0.005905618527632081,-0.19999956585544937,-0.1460256426473794,-0.14817803753645042,10.0
2016-03-24 17:00:00+00:00,-1.1699357545767421,-0.6884702365907981,1.2740080118461636,2.443113281349698,-2.0315934686661112,-0.16559398762297425,1.8864218941548998,0.7909312005832946,0.005905618527632081,-0.4467072770284915,-0.1460256426473794,-0.14817803753645042,9.0
2016-11-16 15:00:00+00:00,0.05074750635326975,0.23716033217216867,0.724165388128511,1.462157236204588,-0.9962445875674579,-0.16559398762297425,0.13827998890931395,0.502435803649224,-0.4946658566716494,1.5269544123558456,-0.3800874561659164,-0.14817803753645042,10.0
2016-11-21 10:00:00+00:00,0.05074750635326975,0.23716033217216867,0.17432276441085856,0.13498141042002834,0.7293368809302978,-0.16559398762297425,-0.8717575563436913,-0.21880268868595254,-1.4958088070702122,1.5269544123558456,-0.1460256426473794,-0.14817803753645042,10.0
2017-02-18 15:00:00+00:00,0.05074750635326975,0.23716033217216867,-0.28387942202051863,0.2888568684820061,-0.09031431660613613,0.7031277865264338,0.33251797838104574,0.502435803649224,1.007048568926195,-0.6934149882015337,-0.1460256426473794,-1.5424876770864877,10.0
2016-12-24 11:00:00+00:00,0.05074750635326975,0.23716033217216867,-0.10059854744796795,-0.7113336089208506,-0.04717477989369223,-0.16559398762297425,0.8958081478490676,-0.07455499021891725,1.007048568926195,1.7736621235288879,-0.1460256426473794,2.8728261814886302,10.0
2016-11-20 11:00:00+00:00,0.05074750635326975,0.23716033217216867,0.17432276441085856,0.8466554039566764,-0.8236864407176823,-0.16559398762297425,-0.2307721910869765,-0.07455499021891725,1.5076200441254766,1.5269544123558456,-0.1460256426473794,-0.14817803753645042,10.0
2017-01-25 23:00:00+00:00,0.05074750635326975,0.23716033217216867,0.2659632016971338,-1.749992950839202,0.7724764176427418,-0.16559398762297425,-0.9688765510795573,1.6564173913855065,-0.4946658566716494,-0.9401226993745758,-0.1460256426473794,-0.14817803753645042,10.0
2017-01-29 20:00:00+00:00,0.05074750635326975,0.23716033217216867,-0.9253624830244467,-0.1727695057039279,0.16852290366852724,-0.16559398762297425,-0.6969433658191329,1.2236742959844005,1.5076200441254766,-0.9401226993745758,-0.1460256426473794,-0.14817803753645042,10.0
2016-04-04 17:00:00+00:00,2.1433473822332902,-1.7298046264491358,1.2740080118461636,2.385409984576456,-1.815895785103892,-0.16559398762297425,1.4008269204755706,0.7909312005832946,-1.4958088070702122,-0.19999956585544937,-0.1460256426473794,1.7109014818635992,23.0
2016-03-19 05:00:00+00:00,0.39951415233327314,-2.192619910830619,1.2740080118461636,-0.3074105315081585,0.9018950277800735,-0.16559398762297425,-1.2213859373928087,-0.9400411810211291,1.007048568926195,-0.4467072770284915,2.896777933093601,-0.14817803753645042,17.0
2017-02-06 18:00:00+00:00,0.05074750635326975,0.23716033217216867,-1.1086433575969976,0.07727811364678645,1.074453174629849,0.181894722036789,-0.1142293974039375,0.9351788990503299,-1.4958088070702122,-0.6934149882015337,1.4924070519823793,-0.14817803753645042,10.0
